
Name                           Value
----                           -----
ALLUSERSPROFILE                C:\ProgramData
APPDATA                        C:\Users\Petru\AppData\Roaming
ChocolateyInstall              C:\ProgramData\chocolatey
ChocolateyLastPathUpdate       133011228984007967
CommonProgramFiles             C:\Program Files\Common Files
CommonProgramFiles(x86)        C:\Program Files (x86)\Common Files
CommonProgramW6432             C:\Program Files\Common Files
COMPUTERNAME                   LAPTOP-GP17PKP5
ComSpec                        C:\WINDOWS\system32\cmd.exe
CONDA_PROMPT_MODIFIER          False
DriverData                     C:\Windows\System32\Drivers\DriverData
foo                            bar
HOMEDRIVE                      C:
HOMEPATH                       \Users\Petru
LOCALAPPDATA                   C:\Users\Petru\AppData\Local
LOGONSERVER                    \\LAPTOP-GP17PKP5
LUA_DEV                        C:\Program Files (x86)\Lua\5.1
LUA_PATH                       ;;C:\Program Files (x86)\Lua\5.1\lua\?.luac
NUMBER_OF_PROCESSORS           16
OneDrive                       C:\Users\Petru\OneDrive
OneDriveConsumer               C:\Users\Petru\OneDrive
OS                             Windows_NT
Path                           C:\Program Files\WindowsApps\Microsoft.PowerShell_7.3.0.0_x64__8wekyb3d8bbwe;C:\Program Files (x86)\Microsoft SDKs\Azure\CLI2\wbin;C:\Program Files (x86)\Razer Chroma SDK\bin;C:\Program Files\Razer Chroma SDK\bin;C:\Program Files (x86)\Razer\ChromaB…
PATHEXT                        .COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.wlua;.lexe;.CPL
POSH_AZURE_ENABLED             False
POSH_GIT_ENABLED               False
POSH_PID                       80636
POSH_THEME                     C:\.config\powershell\ohmyposh\settings.json
POSH_THEMES_PATH               C:\Users\Petru\AppData\Local\Programs\oh-my-posh\themes
POWERLINE_COMMAND              oh-my-posh
POWERSHELL_DISTRIBUTION_CHANN… MSI:Windows 10 Home
PROCESSOR_ARCHITECTURE         AMD64
PROCESSOR_IDENTIFIER           Intel64 Family 6 Model 141 Stepping 1, GenuineIntel
PROCESSOR_LEVEL                6
PROCESSOR_REVISION             8d01
ProgramData                    C:\ProgramData
ProgramFiles                   C:\Program Files
ProgramFiles(x86)              C:\Program Files (x86)
ProgramW6432                   C:\Program Files
PSModulePath                   C:\Users\Petru\Documents\PowerShell\Modules;C:\Program Files\PowerShell\Modules;c:\program files\windowsapps\microsoft.powershell_7.3.0.0_x64__8wekyb3d8bbwe\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.…
PUBLIC                         C:\Users\Public
SystemDrive                    C:
SystemRoot                     C:\WINDOWS
TEMP                           C:\Users\Petru\AppData\Local\Temp
TMP                            C:\Users\Petru\AppData\Local\Temp
USERDOMAIN                     LAPTOP-GP17PKP5
USERDOMAIN_ROAMINGPROFILE      LAPTOP-GP17PKP5
USERNAME                       Petru
USERPROFILE                    C:\Users\Petru
windir                         C:\WINDOWS
WSLENV                         WT_SESSION::WT_PROFILE_ID
WT_PROFILE_ID                  {574e775e-4f2a-5b96-ac1e-a2962a402336}
WT_SESSION                     ea4ccdb9-1dd2-4786-a88a-8f0994e60e03
XDG_CONFIG_HOME                C:\Users\Petru\AppData\Local
XDG_DATA_HOME                  C:\Users\Petru\AppData\Local
ZES_ENABLE_SYSMAN              1

